date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-06-10,-35.0,-13.0,-37.0,-50.0,-38.0,23
2020-06-11,-30.0,-8.0,-38.0,-51.0,-39.0,23
2020-06-12,-37.0,-16.0,-42.0,-53.0,-39.0,24
2020-06-13,-36.0,-15.0,-40.0,-49.0,-11.0,14
2020-06-14,-42.0,-22.0,-36.0,-59.0,-7.0,16
2020-06-15,-26.0,-9.0,-35.0,-52.0,-44.0,23
2020-06-16,-49.0,-31.0,-47.0,-67.0,-75.0,35
2020-06-17,-37.0,-17.0,-43.0,-54.0,-40.0,23
2020-06-18,-32.0,-12.0,-39.0,-54.0,-41.0,23
2020-06-19,-33.0,-14.0,-36.0,-53.0,-40.0,24
2020-06-20,-29.0,-7.0,-32.0,-49.0,-9.0,13
2020-06-21,-38.0,-17.0,-30.0,-59.0,-3.0,15
2020-06-22,-36.0,-22.0,-36.0,-64.0,-45.0,24
2020-06-23,-35.0,-20.0,-33.0,-53.0,-41.0,22
2020-06-24,-35.0,-17.0,-35.0,-53.0,-40.0,23
2020-06-25,-21.0,2.0,-32.0,-50.0,-40.0,21
2020-06-26,-25.0,-2.0,-32.0,-48.0,-40.0,21
2020-06-27,-22.0,2.0,-26.0,-41.0,-10.0,11
2020-06-28,-29.0,-6.0,-24.0,-53.0,-5.0,14
2020-06-29,-25.0,-9.0,-30.0,-48.0,-39.0,22
2020-06-30,-23.0,-5.0,-28.0,-46.0,-39.0,20
2020-07-01,-23.0,-2.0,-28.0,-45.0,-39.0,21
2020-07-02,-18.0,6.0,-26.0,-46.0,-40.0,22
2020-07-03,-23.0,-1.0,-26.0,-44.0,-40.0,22
2020-07-04,-24.0,-2.0,-23.0,-40.0,-9.0,12
2020-07-05,-29.0,-9.0,-22.0,-50.0,-4.0,14
2020-07-06,-23.0,-5.0,-30.0,-47.0,-41.0,22
2020-07-07,-26.0,-7.0,-28.0,-45.0,-41.0,22
2020-07-08,-30.0,-9.0,-34.0,-50.0,-40.0,23
2020-07-09,-27.0,-4.0,-35.0,-51.0,-42.0,23
2020-07-10,-31.0,-11.0,-33.0,-51.0,-42.0,23
2020-07-11,-36.0,-16.0,-40.0,-51.0,-15.0,15
2020-07-12,-37.0,-19.0,-30.0,-57.0,-10.0,15
2020-07-13,-34.0,-18.0,-36.0,-54.0,-42.0,23
2020-07-14,-36.0,-22.0,-38.0,-55.0,-43.0,23
2020-07-15,-33.0,-14.0,-38.0,-54.0,-42.0,24
2020-07-16,-30.0,-11.0,-35.0,-54.0,-42.0,23
2020-07-17,-32.0,-11.0,-33.0,-53.0,-41.0,24
2020-07-18,-32.0,-11.0,-29.0,-50.0,-12.0,15
2020-07-19,-37.0,-17.0,-25.0,-58.0,-10.0,17
2020-07-20,-31.0,-15.0,-33.0,-54.0,-41.0,24
2020-07-21,-34.0,-19.0,-31.0,-54.0,-42.0,23
2020-07-22,-35.0,-16.0,-34.0,-54.0,-40.0,24
2020-07-23,-31.0,-13.0,-33.0,-54.0,-40.0,24
2020-07-24,-24.0,-4.0,-29.0,-51.0,-39.0,22
2020-07-25,-18.0,4.0,-18.0,-42.0,-10.0,12
2020-07-26,-24.0,-2.0,-15.0,-53.0,-7.0,14
2020-07-27,-25.0,-8.0,-30.0,-51.0,-43.0,23
2020-07-28,-27.0,-10.0,-30.0,-49.0,-42.0,22
2020-07-29,-26.0,-7.0,-29.0,-50.0,-42.0,23
2020-07-30,-23.0,-4.0,-28.0,-49.0,-43.0,22
2020-07-31,-19.0,3.0,-22.0,-45.0,-41.0,21
2020-08-01,-16.0,6.0,-9.0,-37.0,-10.0,10
2020-08-02,-19.0,2.0,-7.0,-46.0,-5.0,12
2020-08-03,-20.0,-3.0,-24.0,-45.0,-40.0,21
2020-08-04,-23.0,-5.0,-21.0,-44.0,-39.0,21
2020-08-05,-23.0,-3.0,-21.0,-44.0,-39.0,21
2020-08-06,-19.0,0.0,-22.0,-45.0,-40.0,21
2020-08-07,-24.0,-3.0,-23.0,-44.0,-40.0,21
2020-08-08,-22.0,-4.0,-14.0,-40.0,-11.0,11
2020-08-09,-26.0,-12.0,-1.0,-50.0,-8.0,13
2020-08-10,-32.0,-19.0,-1.0,-58.0,-76.0,30
2020-08-11,-29.0,-15.0,-24.0,-46.0,-38.0,19
2020-08-12,-29.0,-12.0,-24.0,-48.0,-38.0,21
2020-08-13,-25.0,-9.0,-22.0,-48.0,-38.0,20
2020-08-14,-22.0,-5.0,-17.0,-46.0,-36.0,19
2020-08-15,-21.0,-5.0,-6.0,-41.0,-6.0,10
2020-08-16,-25.0,-10.0,-4.0,-50.0,-5.0,13
2020-08-17,-28.0,-15.0,-28.0,-49.0,-37.0,21
2020-08-18,-25.0,-9.0,-27.0,-47.0,-35.0,19
2020-08-19,-27.0,-13.0,-29.0,-48.0,-36.0,19
2020-08-20,-19.0,-3.0,-25.0,-47.0,-36.0,18
2020-08-21,-22.0,-10.0,-20.0,-45.0,-35.0,18
2020-08-22,-22.0,-10.0,-16.0,-41.0,-7.0,9
2020-08-23,-26.0,-14.0,-9.0,-49.0,-6.0,11
2020-08-24,-26.0,-15.0,-27.0,-47.0,-35.0,18
2020-08-25,-16.0,-2.0,-23.0,-43.0,-34.0,17
2020-08-26,-18.0,-2.0,-25.0,-42.0,-33.0,17
2020-08-27,-12.0,5.0,-23.0,-41.0,-33.0,17
2020-08-28,-14.0,0.0,-17.0,-39.0,-33.0,15
2020-08-29,-12.0,1.0,-6.0,-33.0,-7.0,6
2020-08-30,-14.0,-2.0,-11.0,-42.0,-5.0,8
2020-08-31,-16.0,-3.0,-23.0,-42.0,-34.0,16
2020-09-01,-18.0,-4.0,-25.0,-42.0,-33.0,16
2020-09-02,-21.0,-6.0,-28.0,-44.0,-34.0,17
2020-09-03,-10.0,6.0,-16.0,-40.0,-33.0,14
2020-09-04,-12.0,0.0,-11.0,-38.0,-32.0,13
2020-09-05,-11.0,-1.0,1.0,-30.0,-7.0,5
2020-09-06,-15.0,-4.0,1.0,-41.0,-6.0,8
2020-09-07,-17.0,-4.0,-19.0,-40.0,-33.0,16
2020-09-08,-20.0,-7.0,-17.0,-39.0,-32.0,16
2020-09-09,-21.0,-7.0,-20.0,-40.0,-31.0,17
2020-09-10,-15.0,0.0,-15.0,-38.0,-32.0,16
2020-09-11,-17.0,-4.0,-10.0,-36.0,-31.0,15
2020-09-12,-15.0,-5.0,3.0,-31.0,-5.0,6
2020-09-13,-20.0,-9.0,2.0,-43.0,-5.0,9
2020-09-14,-24.0,-13.0,-16.0,-41.0,-30.0,17
2020-09-15,-21.0,-9.0,-16.0,-39.0,-29.0,17
2020-09-16,-23.0,-10.0,-21.0,-40.0,-30.0,17
2020-09-17,-18.0,-5.0,-17.0,-37.0,-30.0,17
2020-09-18,-17.0,-6.0,-15.0,-36.0,-29.0,15
2020-09-19,-17.0,-7.0,-8.0,-30.0,-4.0,8
2020-09-20,-21.0,-11.0,-5.0,-42.0,-6.0,10
2020-09-21,-24.0,-13.0,-20.0,-40.0,-31.0,17
2020-09-22,-25.0,-13.0,-27.0,-38.0,-31.0,17
2020-09-23,-17.0,-2.0,-28.0,-33.0,-31.0,14
2020-09-24,-23.0,-7.0,-7.0,-47.0,-73.0,24
2020-09-25,-14.0,6.0,-24.0,-37.0,-45.0,17
2020-09-26,-16.0,-3.0,-15.0,-29.0,-11.0,6
2020-09-27,-17.0,-3.0,-15.0,-36.0,-6.0,6
2020-09-28,-19.0,-3.0,-30.0,-34.0,-31.0,17
2020-09-29,-19.0,-4.0,-30.0,-33.0,-29.0,16
2020-09-30,-16.0,3.0,-36.0,-32.0,-29.0,15
2020-10-01,-10.0,11.0,-37.0,-29.0,-28.0,14
2020-10-02,-11.0,11.0,-37.0,-26.0,-28.0,13
2020-10-03,-7.0,6.0,-23.0,-20.0,-7.0,5
2020-10-04,-11.0,1.0,-15.0,-30.0,-7.0,6
2020-10-05,-21.0,-6.0,-40.0,-34.0,-29.0,15
2020-10-06,-19.0,-3.0,-36.0,-34.0,-28.0,14
2020-10-07,-17.0,1.0,-30.0,-33.0,-28.0,15
2020-10-08,-13.0,4.0,-24.0,-30.0,-26.0,15
2020-10-09,-12.0,4.0,-18.0,-27.0,-25.0,13
2020-10-10,-13.0,-3.0,-8.0,-27.0,-3.0,6
2020-10-11,-27.0,-15.0,-32.0,-44.0,-9.0,12
2020-10-12,-24.0,-10.0,-29.0,-35.0,-27.0,17
2020-10-13,-23.0,-10.0,-26.0,-33.0,-26.0,16
2020-10-14,-22.0,-7.0,-30.0,-32.0,-26.0,16
2020-10-15,-14.0,2.0,-30.0,-30.0,-26.0,15
2020-10-16,-12.0,6.0,-27.0,-27.0,-25.0,14
2020-10-17,-15.0,-4.0,-19.0,-26.0,-4.0,7
2020-10-18,-21.0,-9.0,-18.0,-37.0,-5.0,10
2020-10-19,-24.0,-10.0,-34.0,-35.0,-27.0,17
2020-10-20,-22.0,-9.0,-31.0,-32.0,-26.0,15
2020-10-21,-22.0,-6.0,-34.0,-31.0,-25.0,16
2020-10-22,-15.0,0.0,-27.0,-29.0,-25.0,15
2020-10-23,-6.0,11.0,-21.0,-21.0,-25.0,12
2020-10-24,-6.0,6.0,-15.0,-19.0,-2.0,4
2020-10-25,-10.0,3.0,-14.0,-32.0,-3.0,7
2020-10-26,-15.0,0.0,-28.0,-29.0,-30.0,16
2020-10-27,-14.0,1.0,-27.0,-27.0,-29.0,15
2020-10-28,-13.0,3.0,-29.0,-26.0,-28.0,15
2020-10-29,-6.0,8.0,-29.0,-24.0,-29.0,15
2020-10-30,-1.0,16.0,-23.0,-18.0,-29.0,11
2020-10-31,-3.0,7.0,-14.0,-16.0,-3.0,3
2020-11-01,-9.0,3.0,-32.0,-28.0,-5.0,7
2020-11-02,-12.0,3.0,-29.0,-27.0,-25.0,14
2020-11-03,-12.0,4.0,-26.0,-25.0,-24.0,14
2020-11-04,-14.0,3.0,-31.0,-27.0,-23.0,15
2020-11-05,-11.0,7.0,-34.0,-28.0,-24.0,16
2020-11-06,-6.0,11.0,-20.0,-22.0,-22.0,12
2020-11-07,-8.0,1.0,-11.0,-20.0,0.0,5
2020-11-08,-15.0,-4.0,-16.0,-33.0,-2.0,9
2020-11-09,-20.0,-7.0,-29.0,-31.0,-24.0,15
2020-11-10,-24.0,-11.0,-38.0,-34.0,-25.0,17
2020-11-11,-21.0,-7.0,-33.0,-30.0,-23.0,16
2020-11-12,-14.0,1.0,-28.0,-28.0,-23.0,15
2020-11-13,-9.0,6.0,-24.0,-25.0,-23.0,13
2020-11-14,-10.0,2.0,-15.0,-23.0,0.0,6
2020-11-15,-16.0,-3.0,-13.0,-34.0,-1.0,9
2020-11-16,-21.0,-8.0,-29.0,-31.0,-24.0,16
2020-11-17,-21.0,-9.0,-30.0,-29.0,-24.0,15
2020-11-18,-22.0,-8.0,-31.0,-35.0,-27.0,17
2020-11-19,-15.0,-2.0,-29.0,-28.0,-23.0,15
2020-11-20,-13.0,0.0,-30.0,-25.0,-22.0,14
2020-11-21,-13.0,-1.0,-36.0,-27.0,-1.0,8
2020-11-22,-21.0,-8.0,-31.0,-37.0,-3.0,11
2020-11-23,-21.0,-10.0,-31.0,-33.0,-24.0,15
2020-11-24,-17.0,-6.0,-28.0,-29.0,-23.0,14
2020-11-25,-3.0,13.0,-25.0,-23.0,-21.0,13
2020-11-26,5.0,23.0,-23.0,-19.0,-21.0,12
2020-11-27,8.0,24.0,-18.0,-8.0,-21.0,9
2020-11-28,6.0,18.0,-13.0,-7.0,4.0,2
2020-11-29,5.0,14.0,-8.0,-18.0,5.0,5
2020-11-30,-3.0,10.0,-21.0,-20.0,-22.0,12
2020-12-01,-3.0,12.0,-22.0,-16.0,-21.0,12
2020-12-02,-1.0,17.0,-21.0,-14.0,-20.0,12
2020-12-03,5.0,23.0,-21.0,-14.0,-21.0,12
2020-12-04,4.0,19.0,-14.0,-9.0,-21.0,10
2020-12-05,2.0,13.0,-23.0,-8.0,3.0,4
2020-12-06,0.0,7.0,-5.0,-17.0,6.0,5
2020-12-07,-9.0,2.0,-25.0,-21.0,-24.0,14
2020-12-08,-9.0,1.0,-24.0,-19.0,-23.0,14
2020-12-09,-8.0,3.0,-24.0,-18.0,-22.0,13
2020-12-10,-2.0,9.0,-22.0,-16.0,-23.0,14
2020-12-11,-1.0,12.0,-14.0,-11.0,-22.0,12
2020-12-12,-5.0,6.0,-16.0,-9.0,3.0,4
2020-12-13,-6.0,3.0,-10.0,-17.0,6.0,7
2020-12-14,-10.0,0.0,-32.0,-24.0,-30.0,16
2020-12-15,7.0,17.0,-16.0,-11.0,-30.0,11
2020-12-16,-7.0,6.0,-7.0,-26.0,-69.0,22
2020-12-17,1.0,18.0,-25.0,-17.0,-38.0,15
2020-12-18,-2.0,13.0,-26.0,-11.0,-39.0,15
2020-12-19,-3.0,9.0,-20.0,0.0,-3.0,3
2020-12-20,-4.0,4.0,-15.0,-10.0,3.0,6
2020-12-21,1.0,15.0,-24.0,-20.0,-50.0,17
2020-12-22,1.0,16.0,-26.0,-17.0,-52.0,16
2020-12-23,1.0,26.0,-33.0,-16.0,-54.0,17
2020-12-24,5.0,47.0,-26.0,-17.0,-62.0,15
2020-12-25,-70.0,-56.0,-34.0,-59.0,-84.0,26
2020-12-26,-51.0,-41.0,-43.0,-46.0,-42.0,13
2020-12-27,-33.0,-24.0,-36.0,-38.0,-14.0,9
2020-12-28,-21.0,-5.0,-37.0,-42.0,-65.0,24
2020-12-29,-32.0,-14.0,-40.0,-44.0,-66.0,26
2020-12-30,-30.0,-8.0,-42.0,-44.0,-65.0,26
2020-12-31,-23.0,15.0,-37.0,-42.0,-67.0,23
